#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2022-07-17-22-48-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1656434296.694328	C0xzzj2k5e1Wj4wKFk	10.6.21.10	54729	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694370	CH9q0O7LjznxMcgZi	10.6.21.10	54745	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694370	C6fvO925W0P5CLTpY1	10.6.21.10	54764	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694391	CPnnjHLQMGDb7hg34	10.6.21.10	54754	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694431	Cakj7V2ySbcVPc6Pke	10.6.21.10	54748	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694450	C1qNDC4rLObqkiYTc1	10.6.21.10	54730	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694518	C4tvtX3z2vy8jH0NRf	10.6.21.10	54766	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694535	CF98Dx38X04qxXViLh	10.6.21.10	54744	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694703	CnQ9Mg24t9Qj3kPsOj	10.6.21.10	54761	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694757	C4fm0f2qC5P0n8Zku9	10.6.21.10	54738	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694818	CORPzP1Ac30sPCp2hb	10.6.21.10	54775	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.694840	CZSqdj2LQy2vQq5Ys8	10.6.21.10	54780	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.912608	Cs3QTW1a7NHA4Mllel	10.6.21.10	54781	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434296.928125	CleBi04RPhZlpxt4Kb	10.6.21.10	54782	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.115686	CkSBgw1RKgJWgGBoGg	10.6.21.10	54804	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
